Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Za≥oøyciela;Nazwa Organizatora I/ Za≥oøyciela;Nazwa Organizatora II/ Za≥oøyciela;Nazwa Organizatora III/ Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum;Data wykreúlenia z rejestru;zakoÒczenie procesu organizacji
363;Muzeum Narodowe w Poznaniu;61-745;PoznaÒ ;PoznaÒ (PoznaÒ-Stare Miasto);m. PoznaÒ;WIELKOPOLSKIE;Aleja;Karola Marcinkowskiego;9;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;2004-08-30;PaÒstwowe;;
364;Muzeum Narodowe w Warszawie;00-495;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;Aleje ;Jerozolimsie ;3;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;PaÒstwowe;;
365;"Muzeum Pa≥acu KrÛla Jana III w Wilanowie
";02-958;Warszawa;Warszawa (WilanÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Stanis≥awa Kostki Potockiego;10;16;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-12-28;PaÒstwowe;;
366;Muzeum Si≥ Powietrznych w DÍblinie;08-521;"DÍblin 
";DÍblin (Lotnisko);rycki;LUBELSKIE;ul.;Dywizjonu 303;12;;;;;;;;Minister Obrony Narodowej;;;;;PaÒstwowe;;
367;Muzeum Stutthof w Sztutowie. Niemiecki nazistowski obÛz koncentracyjny i zag≥ady (1939-1945);82-110;Sztutowo;Kπty Rybackie;nowodworski;POMORSKIE;ul.;Muzealna ;6;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-12-28;PaÒstwowe;;
368;Muzeum Sztuki i Techniki JapoÒskiej MANGGHA ;30-302;"KrakÛw 
";KrakÛw (KrakÛw-PodgÛrze);m. KrakÛw;MA£OPOLSKIE;ul.;Marii Konpnickiej;26;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;2013-08-21;PaÒstwowe;;
369;Muzeum Wojsk Lπdowych w Bydgoszczy;85-641;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;Czerkaska;2;;;;;;;;Minister Obrony Narodowej;;;;;PaÒstwowe;;
370;Muzeum Wojska Polskiego w Warszawie;00-495;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;Aleje ;Jerozolmskie;3;;;;;;;;Minister Obrony Narodowej;;;;1999-12-28;PaÒstwowe;;
371;Muzeum Zamkowe w Malborku;82-200;"Malbork 
";Malbork;malborski;POMORSKIE;ul.;StaroúciÒska;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;PaÒstwowe;;
372;Muzeum Øup Krakowskich Wieliczka w Wieliczce ;32-020;Wieliczka;Trπbki;wielicki;MA£OPOLSKIE;ul.;Zamkowa ;8;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-05-18;PaÒstwowe;;
373;Narodowe Muzeum Morskie w GdaÒsku;80-751;"GdaÒsk 
";GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;O≥owianka;9-;13;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1999-12-28;PaÒstwowe;;
374;"PaÒstwowe Muzeum Auschwitz-Birkenau w OúwiÍcimiu
";32-603;OúwiÍcim;OúwiÍcim;oúwiÍcimski;MA£OPOLSKIE;ul.;WiÍüniÛw OúwiÍcimia ;20;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;PaÒstwowe;;
375;PaÒstwowe Muzeum na Majdanku. Niemiecki nazistowski obÛz koncentracyjny i zag≥ady (1941-1944);20-325;"Lublin 
";Lublin;m. Lublin;LUBELSKIE;ul.;Droga MÍczennikÛw Majdanka ;67;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;PaÒstwowe;;
376;"Zamek KrÛlewski na Wawelu ñ PaÒstwowe Zbiory Sztuki 
";31-001;KrakÛw;KrakÛw (KrakÛw-årÛdmieúcie);m. KrakÛw;MA£OPOLSKIE;ul.;Wawel;5;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;PaÒstwowe;;
377;"Zamek KrÛlewski w Warszawie ñ Muzeum. Rezydencja KrÛlÛw i Rzeczypospolitej 
";00-277;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;pl. ;Zamkowy ;4;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-05-18;PaÒstwowe;;
378;Muzeum Archidiecezjalne Kardyna≥a Karola Wojty≥y ;"31-002 

";"KrakÛw 
";KrakÛw;m. KrakÛw;MA£OPOLSKIE;ul.;Kanonicza;19-;21;;;;;;;Archidiecezja Krakowska;;;;;Koúcielne;;
379;Muzeum úw. Ojca Stanis≥awa PapczyÒskiego w GÛrze Kalwarii;"05-330

";" GÛra Kalwaria (Dom Zakonny Zgromadzenia KsiÍøy MarianÛw pod wezwaniem b≥. Ojca Stanis≥aw PapczyÒskiego w GÛrze Kalwarii)


";GÛra Kalwaria;piaseczyÒski;MAZOWIECKIE;ul.;Stanis≥awa PapczyÒskiego ;5A;;;;;;;;Prowincja Polska Zgromadzenia KsiÍøy MarianÛw pod wezwaniem Niepokalanego PoczÍcia NajúwiÍtszej Marii Panny z siedzibπ w Warszawie ;;;;;Koúcielne;;
380;Muzeum Diecezjalne im. b≥. Abpa. Antoniego Juliana Nowowiejskiego w P≥ocku;09-402;P≥ock;P≥ock;p≥ocki;MAZOWIECKIE;ul.;Tumska;3;;;;;;;;Diecezja P≥ocka;;;;;;;
381;"Muzeum Diecezjalne w Drohiczynie im. Jana Paw≥a II
";17-312;"Drohiczyn

";Drohiczyn;siemiatycki;PODLASKIE;ul. ;Kraszewskiego;4;;;;;;;;Diecezja DrohiczyÒska ;;;;;Koúcielne;;
382;"Muzeum Diecezjalne w Siedlcach
";"08-110 
";"Siedlce

";Siedlce;m. Siedlce;MAZOWIECKIE;ul.;Biskupa I. åwirskiego ;56;;;;;;;;Diecezja Siedlecka;;;;;Koúcielne;;
383;Muzeum Diecezji Elblπskiej;82-300;"Elblπg

";Nowakowo;elblπski;WARMI—SKO-MAZURSKIE;ul.;Mostowa ;14-;16;;;;;;;Diecezja Elblπska;;;;;Koúcielne;;
384;Muzeum im. KsiÍdza Walentego ålusarczyka przy Opactwie O.O. CysterÛw w Wπchocku (w organizacji);27-215;Wπchock ;Wπchock;starachowicki;åWI TOKRZYSKIE;ul. ;Koúcielna;14;;;;;;;;Opactwo OjcÛw CystersÛw w Wπchocku ;;;;;Koúcielne;;
385;Muzeum im. úw. Jana Paw≥a II w organizacji ;75-016;Koszalin (Centrum Pielgrzymkowo - Turystyczne przy Domu Zakonnym - GÛra Che≥mska);Biesiekierz;koszaliÒski;ZACHODNIOPOMORSKIE;ul.;S≥upska;1;;;;;;;;Szensztacki Instytut SiÛstr Maryi (ISSM);;;;;Koúcielne;;
386;Muzeum Markowieckiego Sanktuarium ;"88-320 
";"Strzelno 
";Strzelno;mogileÒski;KUJAWSKO-POMORSKIE;;Markowice;5;;;;;;;;Parafia Rzymskokatolicka pw. Nawiedzenia NajúwiÍtszej Maryi Panny w Markowicach;;;;;Koúcielne;;
387;Muzeum Misyjne SiÛstr Klawerianek w Kroúnie;38-400;Krosno;Krosno;kroúnieÒski;PODKARPACKIE;ul.;£ukasiewicza;62;;;;;;;;Zgromadzenie SiÛstr Misjonarek åw. Piotra Klawera w Kroúnie;;;;;Koúcielne;;
388;"Muzeum Pomnika Historii ÑFrombork - zespÛ≥ katedralny"" we Fromborku (w organizacji)";14-530 ;Frombork;Frombork;braniewski;WARMI—SKO-MAZURSKIE;;Katedralna;8;;;;;;;;Archidiecezja WarmiÒska;;;;;Koúcielne;;
389;Muzeum Prawos≥awnej Diecezji Lubelsko-Che≥mskiej;21-526 ;"Jab≥eczna 
";S≥awatycze;bialski;LUBELSKIE;ul.;Jab≥eczna;1;;;;;;;;Prawos≥awna Diecezja Lubelsko-Che≥mska ;;;;;Koúcielne;;
390;Muzeum Reformacji Polskiej w Miko≥ajkach;11-730; Miko≥ajki;Miko≥ajki;mrπgowski;WARMI—SKO-MAZURSKIE;ul.;Plac Koúcielny ;5;;;;;;;;Zgromadzenie Parafialne Parafii Ewangelicko-Augsburskiej åw. TrÛjcy w Miko≥ajkach;;;;;Koúcielne;;
391;Muzeum Warszawskiej Metropolii Prawos≥awnej w Warszawie ;03-403;Warszawa ;Warszawa (Praga-PÛ≥noc);m. st. Warszawa;MAZOWIECKIE;ul.;úw. Cyryla i Metodego ;4;;;;;;;;Warszawska Metropolia Prawos≥awna;;;;;Koúcielne;;
392;Chojnickie Muzeum Motoryzacji i Techniki (w organizacji);89-600;Chojnice;Chojnice;chojnicki;POMORSKIE;ul.;Stary Rynek;18;19;;;;;;;Liliana Helta; Jordan Rolbiecki ;;;;Utworzone przez osoby fizyczne;;
393;Chotomowskie Muzeum Techniki Wojskowej w Chotomowie;05-123;ChotomÛw;ChotomÛw;legionowski;MAZOWIECKIE;ul.;Baúniowa;1;;;;;;;;Marcin PtaszyÒski;;;;;Utworzone przez osoby fizyczne;;
394;Ekomuzeum Olejarstwa w Zadnodze Olejarnia Staropolska na Roztoczu (w organizacji);22-610;Krynice;Krynice;tomaszowski;LUBELSKIE;;Zadnoga;19;;;;;;;;Anna Ko≥odziej;;;;;Utworzone przez osoby fizyczne;;
395;Falenickie Muzeum Historyczne (w organizacji);04-921;Warszawa - Falenica;Warszawa (Wawer);m. st. Warszawa;MAZOWIECKIE;ul.;Biernacka;12;;;;;;;;Pawe≥ Szewczak;;;;;Utworzone przez osoby fizyczne;;
396;Galicyjskie Muzeum Historyczne w Rzeszowie (w organizacji);35-504;RzeszÛw;RzeszÛw;RzeszÛw;PODKARPACKIE;ul.;Ustrzycka;91;;;;;;;;Pawe≥ Sagan;;;;;Utworzone przez osoby fizyczne;;
397;GdyÒskie Muzeum Motoryzacji;81-010;Gdynia;Gdynia;Gdynia;POMORSKIE;ul.;Øwirowa;2c;;;;;;;;Witold Ciπøkowski;;;;;Utworzone przez osoby fizyczne;;
398;Kociewskie Muzeum Motoryzacji i Przemys≥u w Starogardzie GdaÒskim (w organizacji);83-200;Starogard GdaÒski;Starogard GdaÒski;starogardzki;POMORSKIE;ul.;Norwida;2;;;;;;;;Zbigniew Pielecki, Micha≥ Pielecki, Pawe≥ Pielecki;;;;;Utworzone przez osoby fizyczne;;
399;Kolbuszowskie Muzeum Techniki Militarnej i Uøytkowej (w†organizacji);36-100;Kolbuszowa;Kolbuszowa;kolbuszowski;PODKARPACKIE;ul.;P. Por. Sawy;76;;;;;;;;Zdzis≥aw Smyrski ;;;;;Utworzone przez osoby fizyczne;;
400;KwidzyÒskie Muzeum Rod≥a (w organizacji);82-500;Kwidzyn;Kwidzyn;kwidzyÒski;POMORSKIE;ul.;Graniczna;36;;;;;;;;Jacek Synakiewicz;;;;;Utworzone przez osoby fizyczne;;
401;Lokalne Muzeum Techniki Wojskowej i Cywilnej (w organizacji);05-270;Marki;Marki (Czarna Struga);wo≥omiÒski;MAZOWIECKIE;ul.;Zieleniecka;47;;;;;;;;Krzysztof Gendek;;;;;Utworzone przez osoby fizyczne;;
402;Lubelskie Muzeum Historii Wojskowoúci ñ ÑArs Militarisî (w organizacji);20-868;Lublin;Lublin;Lublin;LUBELSKIE;ul.;Karpacka;60;;;;;;;;Pawe≥ WÛjcik;;;;;Utworzone przez osoby fizyczne;;
403;Lubelskie Muzeum Techniki Wojskowej i Uøytkowej w Jelnicy (w organizacji);21-560;Miedzyrzec Podlaski;Jelnica;bialski;LUBELSKIE;;Jelnica;166;;;;;;;;Witold Witkowski;Agnieszka Matejko;Maciej Mienkus;;;;;
404;Ma≥e Muzeum Ludowe u Kowalskich ;55-100;Trzebnica;Paw≥Ûw Trzebnicki;trzebnicki;DOLNOåL•SKIE;;Marcinowo;2;;;;;;;;Marian Kowalski ;;;;;Utworzone przez osoby fizyczne;;
405;Mazowieckie Muzeum Militarne (w organizacji);05-120;Legionowo;Legionowo;legionowski;MAZOWIECKIE;ul.;DÍbowa;11;;;;;;;;£ukasz Walnik;;;;;Utworzone przez osoby fizyczne;;
406;Muzeum 303 im. pp≥k. pil. Jana Zumbacha w Napoleonie (w organizacji);42-165;Lipie;Lipie;k≥obucki;åL•SKIE;;Napoleon;35A;;;;;;;;Tomasz Kajkowski;;;;;Utworzone przez osoby fizyczne;;
407;Muzeum Afryki w Sobanicach ;09-162;Nacpolsk;Nacpolsk;p≥oÒski;MAZOWIECKIE;;Sobanice;45A;;;;;;;;Marta Ko≥odziej ;;;;;Utworzone przez osoby fizyczne;;
408;Muzeum Archeologii PÛl Bitewnych Twierdzy Przemyúl w Przemyúlu (w organizacji) ;37-700;Przemyúl ;Przemyúl ;przemyski;PODKARPACKIE;ul. ;ZieliÒskiego ;14;7A;;;;;;;Jacek Dzik ;;;;;Utworzone przez osoby fizyczne ;;
409;Muzeum ñ Archeoskansen grodu warownego z X w. (w†organizacji);43-246;StrumieÒ;Pruchna;cieszyÒski;åL•SKIE;ul.;Graniczna dz. ;1162;1;;;;;;;Sylwester Zalewski ;;;;;Utworzone przez osoby fizyczne;;
410;Muzeum Artylerii Ziemi Przemyskiej (w organizacji);37-700;Przemyúl;Przemyúl;Przemyúl;PODKARPACKIE;;OstrÛw;22;;;;;;;;Andrzej Potoczny;;;;;Utworzone przez osoby fizyczne;;
411;Muzeum ArtystÛw Polskich (w organizacji);05-071;SulejÛwek;SulejÛwek;miÒski;MAZOWIECKIE;ul.;Stefana Øeromskiego;19;;;;;;;;Joanna Beata Wyrostkiewicz-Wasilka;;;;;Utworzone przez osoby fizyczne;;
412;Muzeum Arystokracji ålπskiej (w organizacji);55-110;Prusice;Prusice;trzebnicki;DOLNOåL•SKIE;;Piotrkowice Pa≥ac;74;;;;;;;;Arkadiusz MichoÒski;;;;;Utworzone przez osoby fizyczne;;
413;Muzeum Automobilizmu, Techniki i Marynistyki w Trzebieøy (w organizacji);72-020;Trzebieø;Police;policki;ZACHODNIOPOMORSKIE;ul.;Dolna;21;;;;;;;;Janusz Baczewicz;;;;;Utworzone przez osoby fizyczne;;
414;Muzeum Batalii Mazowieckich (w organizacji);05-152;Cybulice Ma≥e;CzosnÛw;nowodworski;MAZOWIECKIE;ul.;Kwiatowa;3;1;;;;;;;Artur Sa≥o;Katarzyna Sa≥o;;;;Utworzone przez osoby fizyczne;;
415;Muzeum Betonowego Schronu Bojowego ÑJS 1941î w Medyce (w organizacji);35-055;RzeszÛw;RzeszÛw;RzeszÛw;PODKARPACKIE;ul.;Adama Naruszewicza;13;1;;;;;;;Jerzy Marek Solecki;;;;;Utworzone przez osoby fizyczne;;
416;Muzeum BohaterÛw Wrzeúnia 1939 im. Jerzego Waszkiewicza (w organizacji);00-132;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Grzybowska;16/22;1525;;;;;;;Dominik Waszkiewicz;;;;;Utworzone przez osoby fizyczne;;
417;Muzeum Bombek Choinkowych w Nowej DÍbie (w organizacji);39-460;Nowa DÍba;Nowa DÍba;tarnobrzeski;PODKARPACKIE;ul.;Wojska Polskiego;1c;;;;;;;;Janusz BiliÒski;;;;;Utworzone przez osoby fizyczne;;
418;Muzeum Broni Dawnej i Nowej, PojazdÛw Militarnych i Wyposaøenia Wojskowego;75-259 ;Koszalin ;Koszalin;koszaliÒski;ZACHODNIOPOMORSKIE;ul. ;Picassa ;9;;;;;;;;Robert Kiryluk;;;;;Utworzone przez osoby fizyczne ;;
419;Muzeum Broni i MilitariÛw w†Lubawie (w organizacji);14-260;Lubawa;Lubawa;i≥awski;WARMI—SKO-MAZURSKIE;ul.;Przemys≥owa;2;;;;;;;;Jaros≥aw Kijewski;;;;;Utworzone przez osoby fizyczne;;
420;Muzeum Broni Historycznej i WspÛ≥czesnej w Poroúcie (w organizacji);76-020;Bobolice;Bobolice;koszaliÒski;ZACHODNIOPOMORSKIE;;Porost 50a;;;;;;;;;Marek Tomaszewski;;;;;Utworzone przez osoby fizyczne;;
421;Muzeum Broni i MilitariÛw w Przasnyszu (w organizacji);06-300;Przasnysz;Przasnysz;przasnyski;MAZOWIECKIE;ul.;Glinki;8;;;;;;;;Daniel Duchnowski;;;;;Utworzone przez osoby fizyczne;;
422;"Muzeum Broni i SprzÍtu Wojskowego ""Mauser"" w Dzierzgoniu (w organizacji)";82-440;DzierzgoÒ;DzierzgoÒ;sztumski;POMORSKIE;ul.;Wojska Polskiego;24;;;;;;;;Miros≥aw Procyk;;;;;Utworzone przez osoby fizyczne;;
423;Muzeum Broni i Wyposaøenia Piechoty w Warszawie (w organizacji);02-755;Warszawa;Warszawa (MokotÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Krucza;41/43;83;;;;;;;Maciej Tylski ;;;;;Utworzone przez osoby fizyczne;;
424;Muzeum Broni w Stanis≥awowie (w organizacji);59-424;Stanis≥awÛw ;MÍcinka ;jaworski ;DOLNOåL•SKIE;; ;41;2;;;;;;;Przemys≥aw Kusek ;;;;;Utworzone przez osoby fizyczne ;;
425;Muzeum Bursztynu w Ustce (w organizacji);76-270;Ustka;Ustka;s≥upski;POMORSKIE;ul.;S≥owiaÒska;35a;1;;;;;;;Paulina Szy≥ko;;;;;Utworzone przez osoby fizyczne ;;
426;Muzeum Czynu Zbrojnego w Lipcach Reymontowskich;96-127;Lipce Reymontowskie;Lipce Reymontowskie;skierniewicki;£”DZKIE;ul.;Reymonta;22;;;;;;;;Jerzy Murgrabia;;;;;Utworzone przez osoby fizyczne;;
427;Muzeum Czynu Zbrojnego Øywiecczyzny w Øywcu;34-300;Øywiec;Øywiec;øywiecki;åL•SKIE;ul.;Wolnoúci;4;;;;;;;;Artur Caputa; Mariusz Tomaszek; Miros≥aw AugustyÒski;;;Utworzone przez osoby fizyczne;;
428;Muzeum Dawnej Broni i Osobliwoúci w Strzyøawie (w organizacji) ;86-070;Dπbrowa Che≥miÒska;Dπbrowa Che≥miÒska;bydgoski;KUJAWSKO-POMORSKIE;;Strzyøawa;43;;;;;;;;Andrzej Dulcet;Renata Dulcet;;;;Utworzone przez osoby fizyczne;;
429;Muzeum DewocjonaliÛw i Rzeczy Osobistych w Ostrowi Mazowieckiej (w organizacji);07-300;OstrÛw Mazowiecka;OstrÛw Mazowiecka;ostrowski;MAZOWIECKIE;ul. ;Antoniego Ba≥dygi;12;;;;;;;;Aneta Øy≥owska ;Cezary £ukasik ;;;;Utworzone przez osoby fizyczne ;;
430;Muzeum ÑDoctor Villaî w KoszÍcinie (w organizacji);42-286;KoszÍcin;KoszÍcin; lubliniecki;åL•SKIE;ul. ;Ligonia;8;;;;;;;;Katarzyna MaÒko;;;;;Utworzone przez osoby fizyczne ;;
431;Muzeum Doliny Liwca (w organizacji);08-110;Siedlce;Siedlce;siedlecki;MAZOWIECKIE;;Pruszynek;58B;;;;;;;;Micha≥ Krasuski;;;;;Utworzone przez osoby fizyczne ;;
432;Muzeum 4 Pu≥ku StrzelcÛw PodhalaÒskich;43-400;Cieszyn;Cieszyn;cieszyÒski;åL•SKIE;ul.;Frysztacka;2;;;;;;;;Krzysztof Neúcior;;;;;Utworzone przez osoby fizyczne;;
433;Muzeum II Korpusu Polskiego w JÛzefowie;05-420;JÛzefÛw;JÛzefÛw;otwocki;MAZOWIECKIE;ul.;Kasztanowa;6;;;;;;;;Mariusz Niewiedzielski;;;;;Utworzone przez osoby fizyczne;;
434;Muzeum II Wojny åwiatowej w Lubiszynie (w organizacji);66-433;Lubiszyn;Lubiszyn;gorzowski;LUBUSKIE;ul.;Polna;1;;;;;;;;Jan Lewek;;;;;Utworzone przez osoby fizyczne;;
435;Muzeum Dawnej Motoryzacji i Techniki ÑKontrastyî w åwinoujúciu (w organizacji);72-600;åwinoujúcie;åwinoujúcie;åwinoujúcie;ZACHODNIOPOMORSKIE;pl.;S≥owiaÒski;15;;;;;;;;Rafa≥ Tyszkiewicz;;;;;Utworzone przez osoby fizyczne;;
436;Muzeum Dawnej Wsi ,,Domek Tkaczkiî;26-120;Bliøyn;Bliøyn;skarøyski;åWI TOKRZYSKIE;ul.;Zafabryczna;35;;;;;;;;Urszula JÍdrzejczyk; Grzegorz JÍdrzejczyk ;;;;Utworzone przez osoby fizyczne;;
437;Muzeum Dolina Psarki ;27-225;Paw≥Ûw;åwiÍtomarz;starachowicki;åWI TOKRZYSKIE;ul.;Tarczek;24;;;;;;;;Micha≥ Sokalski ;;;;;Utworzone przez osoby fizyczne;;
438;Muzeum DwÛr FeillÛw ;32-420;GdÛw;GdÛw;wielicki;MA£OPOLSKIE;;ZrÍczyce;51;;;;;;;;Aneta Tyl; Krzysztof Tyl;;;;Utworzone przez osoby fizyczne;;
439;Muzeum Dziedzictwa Kulturowego (w organizacji);80-410;Szczecin;GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;úw. Wojciecha;1;;;;;;;;Wojciech Lizak; Karol Lizak;;;;Utworzone przez osoby fizyczne;;
440;Muzeum 3 Dywizji Piechoty LegionÛw w Zamoúciu (w†organizacji);22-400;ZamoúÊ;ZamoúÊ;zamojski;LUBELSKIE;ul.;Ordynacka;47;;;SkokÛwka;;;;;Maciej PodgÛrski ;;;;;Utworzone przez osoby fizyczne;;
441;Muzeum Eksploracji w Przeümierowie;62-081;Przeümierowo;Dπbrowa;poznaÒski;WIELKOPOLSKIE;ul.;Sk≥adowa;40A;;;;;;;;Zygmunt Adamski; Piotr Lewandowski;;;;Utworzone przez osoby fizyczne;;
442;Muzeum Eksploracji Ziem Polskich w Poznaniu (w organizacji);61-311;PoznaÒ;PoznaÒ;PoznaÒ;WIELKOPOLSKIE;ul.;Przyjemna;18;;;;;;;;Anna LiÒska;;;;;Utworzone przez osoby fizyczne;;
443;Muzeum Elwiro Micha≥a Andriollego;05-410;JÛzefÛw;JÛzefÛw;otwocki;MAZOWIECKIE;ul.;S≥oneczna;20;;;;;;;;Robert Lewandowski;;;;;Utworzone przez osoby fizyczne;;
444;"Muzeum Etnograficzno - Archeologiczne ""KLEISTMETAL""(w organizacji)";83-331;Øukowo PrzyjaüÒ;£apino Kartuskie;kartuski;POMORSKIE;ul.;Sosnowa;21;;;;;;;;Krystian Adamczyk;;;;;Utworzone przez osoby fizyczne;;
445;Muzeum Fiata 126p;43-300;Bielsko - Bia≥a;Bielsko-Bia≥a;bielski;åL•SKIE;ul.;Karpacka;44;;;;;;;;Antoni PrzychodzieÒ;;;;;Utworzone przez osoby fizyczne;;
446;Muzeum Fort XII Werner w Øurawicy (w†organizacji);37-710;Øurawica k. Przemyúla;Øurawica;przemyski;PODKARPACKIE;ul.;Forteczna;20;;;;;;;;S≥awomir Golonka;;;;;Utworzone przez osoby fizyczne;;
447;Muzeum Foteli Katapultowych w Oleúnicy (w organizacji);56-400;Oleúnica;Oleúnica;oleúnicki;DOLNOåL•SKIE;ul.;Ludwikowska;27;;;;;;;;Rados≥aw Szuka≥a;;;;;Utworzone przez osoby fizyczne;;
448;Muzeum Fotografii w Janowie Lubelskim (w organizacji);23-300;JanÛw Lubelski;JanÛw Lubelski;janowski;LUBELSKIE;ul.;Jana Zamoyskiego;20;;;;;;;;Antoni Florczak ;;;;;Utworzone przez osoby fizyczne;;
449;Muzeum Frontu Wschodniego (w organizacji);03-301;Warszawa;Warszawa (Praga-PÛ≥noc);m. st. Warszawa;MAZOWIECKIE;ul.;JagielloÒska;49c;26;;;;;;;Artur Steckiewicz;;;;;Utworzone przez osoby fizyczne;;
450;Muzeum Galeria Sulmin w Sulminie(w organizacji);83-331;Sulmin;Øukowo;kartuski;POMORSKIE;;Sulmin;33;;;;;;;;Alicja Solarewicz-Zawierucha;;;;;Utworzone przez osoby fizyczne;;
451;Muzeum Galicyjskich Wsi i Pobojowisk w £askach (w organizacji);38-200;£aski;Jas≥o;jasielski;PODKARPACKIE;;£aski;207;;;;;;;;Klaudiusz Kotulak;;;;;Utworzone przez osoby fizyczne;;
452;Muzeum GÛrnictwa i Historii Z≥otego Stoku;57-250;Z≥oty Stok ;Z≥oty Stok ;zπbkowicki ;DOLNOåL•SKIE;ul. ;Z≥ota ;9;;;;;;;;Eløbieta Szumska ;;;;;Utworzone przez osoby fizyczne ;;
453;Muzeum GÛrnictwa i Hutnictwa Staropolskiego w Warszawie (w organizacji) ;01-864;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul.;Kochanowskiego;52;178;;;;;;;Stanis≥aw Krupa;;;;;Utworzone przez osoby fizyczne ;;
454;Muzeum GÛry Sowie Region Sudety w organizacji;58-250;Pieszyce;Pieszyce;dzierøoniowski;DOLNOåL•SKIE;ul.;Kamionki;12;;;;;;;;JÛzef Przeorek; Micha≥ Przeorek;;;;Utworzone przez osoby fizyczne;;
455;Muzeum Gross Born w Bornem Sulinowie (w organizacji);78-449;Borne Sulinowo;Borne Sulinowo;szczecinecki;ZACHODNIOPOMORSKIE;ul.;Marii Konopnickiej;9;;;;;;;;Dariusz Czerniawski;;;;;Utworzone przez osoby fizyczne;;
456;"Muzeum ""He≥m"" w Che≥mie (w organizacji)";59-305;Rudna;Rudna;lubiÒski;DOLNOåL•SKIE;;Che≥m;33;;;;;;;;Ryszard Biskup;;;;;Utworzone przez osoby fizyczne;;
457;Muzeum Historii Artylerii (w organizacji);05-319;Ceg≥Ûw;Ceg≥Ûw;miÒski;MAZOWIECKIE;;Rudnik;57;;;;;;;;£ukasz Cichosz;;;;;Utworzone przez osoby fizyczne;;
458;Muzeum Historii Bieszczad w Czarnej GÛrnej ;38-710;Czarna GÛrna;Czarna GÛrna;bieszczadzki;PODKARPACKIE;;Czarna GÛrna;6;;;;;;;;Rafa≥ Dudka; LeAnn Dudka ;;;;Utworzone przez osoby fizyczne;;
459;Muzeum Historii Czu≥owa w Tychach (w organizacji);43-100;Tychy;Tychy;Tychy;åL•SKIE;ul.;Klonowa;25;;;;;;;;Gabriel PieroÒczyk;;;;;Utworzone przez osoby fizyczne;;
460;Muzeum Historii i Dzia≥aÒ Zbrojnych (w organizacji);99-320;Øychlin;Øychlin;kutnowski;£”DZKIE;ul.;Krasickiego;8;;;;;;;;Bogdan Szalaty;;;;;Utworzone przez osoby fizyczne;;
461;Muzeum Historii i MilitariÛw w Czarnej Wodzie (w organizacji);83-262;Czarna Woda;Czarna Woda;starogardzki;POMORSKIE;ul.;Chojnicka;20;;;;;;;;Piotr Kazimierz Szulc;;;;;Utworzone przez osoby fizyczne;;
462;Muzeum Historii Gospodarki, FinansÛw i Rozwoju PrzedsiÍbiorczoúci Na Ziemiach Polskich (w organizacji);05-804;PruszkÛw;PruszkÛw;pruszkowski;MAZOWIECKIE;;skr. Poczt.;90;;;;;;;;Krzysztof KotyÒski ;;;;;Utworzone przez osoby fizyczne;;
